t,phase,target_waypoint,x_wp,y_wp,yaw_wp,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos,vx_real,vx_ref,vx_cmd_eff,vy_cmd_eff,wz_cmd_eff
0.0,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.34143281134436554,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0
0.002,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,6e-05,0.0,-3.289600123146606e-07,-1.614619435154794e-06,0.3413534139531371,6.032896001231466e-05,1.614619435154794e-06,6.035056264930627e-05,-8.224000307866516e-06,0.03,0.03001508525645108,4.0373558976045625e-07,0.0
0.004,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00012,0.0,-9.695584070015327e-07,-4.192295775816667e-06,0.3412342832719919,0.00012096955840700153,4.192295775816667e-06,0.00012104218027223769,-2.3827760159644992e-05,0.03,0.03003025145452767,1.0483642897147153e-06,0.0
0.006,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00017999999999999998,0.0,-1.8773521003904563e-06,-7.361518524062605e-06,0.34107567454090015,0.00018187735210039045,7.361518524062605e-06,0.00018202627052716735,-4.533121448638583e-05,0.03,0.030045487496818624,1.841038052702403e-06,0.0
0.008,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00024,0.0,-2.987627092771897e-06,-1.0917029688677817e-05,0.34087776318400803,0.0002429876270927719,1.0917029688677817e-05,0.0002432327454464128,-7.082152857160255e-05,0.03,0.030060777214948074,2.73046169534064e-06,0.0
0.01,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.0003,0.0,-4.221836588275898e-06,-1.4737584170534314e-05,0.34064065932376253,0.0003042218365882759,1.4737584170534314e-05,0.0003045785978106919,-9.813568953062247e-05,0.03,0.03007610097841378,3.686337195013291e-06,0.0
0.012,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00035999999999999997,0.0,-5.5282747334518555e-06,-1.8725569731849867e-05,0.34036433352676104,0.0003655282747334518,1.8725569731849867e-05,0.0003660076045540532,-0.00012588985868349027,0.03,0.030091445864363808,4.684269863828772e-06,0.0
0.014,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00042,0.0,-6.871385807261009e-06,-2.281456650510521e-05,0.340048746927718,0.00042687138580726103,2.281456650510521e-05,0.0004274806246671624,-0.0001531731425945446,0.03,0.03010680298570155,5.707659785467863e-06,0.0
0.016,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00048,0.0,-8.228023851948043e-06,-2.695918783597521e-05,0.33969386224336445,0.00048822802385194803,2.695918783597521e-05,0.0004889717794343083,-0.00017943043658199322,0.03,0.030122166556613917,6.745163077577161e-06,0.0
0.018000000000000002,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00054,0.0,-9.584638211018001e-06,-3.1124171577735115e-05,0.33929964939371504,0.000549584638211018,3.1124171577735115e-05,0.0005504652474170698,-0.00020437427372964247,0.03,0.030137533189435593,7.787965221596025e-06,0.0
0.02,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.0006,0.0,-1.094576808792161e-05,-3.5279001426641126e-05,0.3388660565317478,0.0006109457680879216,3.5279001426641126e-05,0.0006119635115643754,-0.0002281838069657506,0.03,0.030152904019193225,8.828436633893859e-06,0.0
0.022,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.0006599999999999999,0.0,-1.231717203222226e-05,-3.940182230869099e-05,0.3383930601981556,0.0006723171720322222,3.940182230869099e-05,0.0006734707739840314,-0.0002510597152249793,0.03,0.0301682804860379,9.86111194552176e-06,0.0
0.024,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.0007199999999999999,0.0,-1.3703594336592523e-05,-4.347608729602431e-05,0.33788065455170635,0.0007337035943365925,4.347608729602431e-05,0.0007349905676326782,-0.0002731672870729869,0.03,0.03018366377679371,1.0881851996719892e-05,0.0
0.026000000000000002,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00078,0.0,-1.5108214537054041e-05,-4.748898019414918e-05,0.33732884375410305,0.000795108214537054,4.748898019414918e-05,0.000796525125821014,-0.00029462442773087546,0.03,0.03019905468725455,1.1887449670260815e-05,0.0
0.028,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.00084,0.0,-1.6532583929266912e-05,-5.143046946595823e-05,0.3367376375994787,0.0008565325839292669,5.143046946595823e-05,0.0008580752650683013,-0.0003155024411496535,0.03,0.030214453606231803,1.2875393511686376e-05,0.0
